image_name,fruit_id,fruit_area,fruit_centroid_y,fruit_centroid_x,fruit_mean_depth,fruit_circularity,fruit_mean_planarity,fruit_flat_percentage,candidate_pixel_y,candidate_pixel_x,candidate_depth,candidate_world_x,candidate_world_y,candidate_world_z,candidate_total_score,candidate_planarity_score,candidate_depth_validity_score,candidate_color_uniformity_score,candidate_edge_distance_score,candidate_edge_distance_pixels,candidate_rms_error
0002,2,9251.0,245.2241919792455,819.0959896227434,0.45120934,0.8783316124058506,0.20161800691938925,78.66176629553561,250,845,0.435,0.435,0.008285714,0.435,0.9204448677677047,0.9893903512346767,1.0,0.961266650613229,0.31559694,31.559694,0.0005936749
0002,2,9251.0,245.2241919792455,819.0959896227434,0.45120934,0.8783316124058506,0.20161800691938925,78.66176629553561,215,820,0.446,0.4247619,-0.021238096,0.446,0.9061663103368782,0.988800023642991,1.0,0.9384419919900316,0.21,21.0,0.0015840848
0002,2,9251.0,245.2241919792455,819.0959896227434,0.45120934,0.8783316124058506,0.20161800691938925,78.66176629553561,275,810,0.437,0.4078667,0.029133333,0.437,0.8480055808804902,0.8716993759452325,1.0,0.9397266198151384,0.21196899,21.1969,0.0011647957
0002,3,8883.0,250.66948103118315,996.3645164921761,0.45928347,0.8726077686382112,0.2893990514563502,63.23314195654621,246,1030,0.446,0.60316193,0.005097143,0.446,0.910092339345209,1.0,1.0,0.9166775920549513,0.225907,22.5907,0.0017745459
0002,3,8883.0,250.66948103118315,996.3645164921761,0.45928347,0.8726077686382112,0.2893990514563502,63.23314195654621,221,995,0.462,0.594,-0.01672,0.462,0.9049438415713265,0.9892016382359544,1.0,0.9289534849098093,0.21,21.0,0.0014471103
0002,3,8883.0,250.66948103118315,996.3645164921761,0.45928347,0.8726077686382112,0.2893990514563502,63.23314195654621,276,980,0.442,0.55565715,0.03030857,0.442,0.8339626237107566,0.85151770292885,1.0,0.8987331450945177,0.233938,23.393799,0.0007623635
0002,4,3918.0,280.01123021949974,395.8940786115365,0.442636,0.5500636028302665,0.24191124278623619,72.12863705972435,273,383,0.44,0.0528,0.027657142,0.44,0.9082380897197241,0.998695246635124,1.0,0.9247271295069919,0.20181397,20.181396,0.0023952888
0002,7,7802.0,330.45270443476034,375.93578569597537,0.45357627,0.6117485256368304,0.18151290848222895,81.74826967444245,344,405,0.421,0.068161905,0.083398096,0.421,0.9114070863244027,0.9817087559194044,1.0,0.9572454179801891,0.26965895,26.965895,0.0006911132
0002,7,7802.0,330.45270443476034,375.93578569597537,0.45357627,0.6117485256368304,0.18151290848222895,81.74826967444245,329,355,0.481,0.03206667,0.08154096,0.481,0.8993441207857958,0.9600059808635172,1.0,0.9318762284055702,0.29559696,29.559694,0.002904983
0002,18,4071.0,543.5234586096782,644.4964382215671,0.4275527,0.6436462362530517,0.1531810823141395,87.76713338246131,547,667,0.421,0.27826098,0.24618475,0.421,0.9066483767372513,0.9955551805007419,1.0,0.9192419180195625,0.20984498,20.984497,0.0006291611
0002,20,4915.0,565.6270600203459,485.2386571719227,0.4251121,0.6167668287141755,0.2245011410890201,78.2706002034588,571,485,0.414,0.13011429,0.26101714,0.414,0.8885881799486498,0.954368756093913,1.0,0.9093586768610955,0.25,25.0,0.0005589118
0002,21,9012.0,586.3634043497559,994.5117620949844,0.45294726,0.5597751330696827,0.2869163327078683,61.118508655126504,609,1018,0.452,0.60094476,0.31769142,0.452,0.9148541190867591,1.0,1.0,0.9312548272443928,0.25165895,25.165895,0.0017942082
0002,21,9012.0,586.3634043497559,994.5117620949844,0.45294726,0.5597751330696827,0.2869163327078683,61.118508655126504,604,978,0.436,0.54645336,0.30229333,0.436,0.8882999956574019,0.9586579620611786,1.0,0.9066801220707873,0.22968996,22.968996,0.0023238026
0002,21,9012.0,586.3634043497559,994.5117620949844,0.45294726,0.5597751330696827,0.2869163327078683,61.118508655126504,564,1013,0.428,0.56496,0.26413715,0.428,0.8591301475765212,0.8859599249107084,1.0,0.9436885939907249,0.24596895,24.596895,0.0006456954
0002,22,3848.0,586.7702702702703,433.26195426195426,0.47600907,0.6056898727542106,0.22088275235275084,75.72765072765073,596,431,0.482,0.10190857,0.3268419,0.482,0.8962869619526836,0.968528956929223,1.0,0.9229819163027685,0.23575196,23.575195,0.0014619604
0002,26,7958.0,583.4241015330485,829.320809248555,0.44253227,0.5816782213491967,0.2885697749711362,63.546117114852976,612,820,0.439,0.41809523,0.31106284,0.439,0.9164994386136408,1.0,1.0,0.9299962527552413,0.27,27.0,0.0019384001
0002,26,7958.0,583.4241015330485,829.320809248555,0.44253227,0.5816782213491967,0.2885697749711362,63.546117114852976,552,835,0.421,0.41298094,0.25019428,0.421,0.8775796334419627,0.9250469720593207,1.0,0.9445809994197042,0.23368996,23.368996,0.00049921824
